product_id,product_name,category,price,order_count,revenue_generated
PWPX0982761091004,Instant Noodles,Supermarket,5.8,11,63.8
PWPX0982761091094,Frozen Ravioli,Supermarket,10.96,11,120.56
PWPX0982761091075,Potato Wedges,Supermarket,14.41,11,158.51
PWPX0982761091085,Red Grapes,Supermarket,14.67,11,161.37
PWPX0982761091082,Baking Powder,Supermarket,17.95,11,197.45
PWPX0982761091089,Pita Bread,Supermarket,10.08,11,110.88
PWPX0982761091124,Nest Thermostat,Electronics,528.96,11,5818.56
PWPX0982761091064,Red Onions,Supermarket,18.81,11,206.91
PWPX0982761090991,Honey Nut Cheerios,Supermarket,17.54,10,175.39999999999998
PWPX0982761091122,Roku Ultra Streaming Device,Electronics,632.85,10,6328.5
PWPX0982761091015,Bell Peppers,Supermarket,4.43,10,44.3
PWPX0982761091014,Whole Wheat Bread,Supermarket,3.85,10,38.5
PWPX0982761091016,Romaine Lettuce,Supermarket,14.22,10,142.20000000000002
PWPX0982761091058,Frozen Chicken Nuggets,Supermarket,4.81,10,48.099999999999994
PWPX0982761091022,Shredded Cheese,Supermarket,16.28,10,162.8
PWPX0982761091119,Dyson V11 Vacuum,Electronics,300.54,10,3005.4
PWPX0982761091045,Whole Wheat Tortillas,Supermarket,16.69,10,166.9
PWPX0982761091018,Butter,Supermarket,3.85,10,38.5
PWPX0982761091092,Basil Pesto,Supermarket,15.28,10,152.79999999999998
PWPX0982761091111,HP Envy Printer,Electronics,482.13,10,4821.3
PWPX0982761091123,JBL Flip Speaker,Electronics,307.07,10,3070.7
PWPX0982761091086,Frozen Mozzarella,Supermarket,17.09,10,170.9
PWPX0982761091041,Mustard,Supermarket,7.95,9,71.55
PWPX0982761091032,Olive Oil,Supermarket,6.09,9,54.81
PWPX0982761091113,Google Chromecast,Electronics,750.72,9,6756.4800000000005
PWPX0982761091060,Ramen,Supermarket,10.8,9,97.2
PWPX0982761091036,Frozen Vegetables,Supermarket,8.54,9,76.85999999999999
PWPX0982761091057,String Cheese,Supermarket,11.13,9,100.17
PWPX0982761091049,Baking Soda,Supermarket,19.55,9,175.95000000000002
PWPX0982761091043,Mozzarella Sticks,Supermarket,16.0,9,144.0
PWPX0982761091107,Apple iPad Air,Electronics,185.97,9,1673.73
PWPX0982761091102,Sony PlayStation 5,Electronics,880.38,9,7923.42
PWPX0982761091121,Asus ROG Gaming Laptop,Electronics,334.68,9,3012.12
PWPX0982761091116,DJI Mini Drone,Electronics,270.42,9,2433.78
PWPX0982761091074,Frozen Corn,Supermarket,7.81,9,70.28999999999999
PWPX0982761091073,Apple Sauce,Supermarket,11.26,9,101.34
PWPX0982761091068,Frozen Broccoli,Supermarket,11.26,9,101.34
PWPX0982761091088,Frozen Edamame,Supermarket,13.13,9,118.17
PWPX0982761091126,Panasonic Lumix Camera,Electronics,187.4,9,1686.6000000000001
PWPX0982761091118,Fitbit Charge 5,Electronics,310.88,9,2797.92
PWPX0982761091027,Coconut Water,Supermarket,2.72,8,21.76
PWPX0982761091005,Ketchup,Supermarket,17.79,8,142.32
PWPX0982761091025,Trail Mix,Supermarket,6.22,8,49.76
PWPX0982761091091,Diced Tomatoes,Supermarket,9.48,8,75.84
PWPX0982761091065,Avocado Oil,Supermarket,8.75,8,70.0
PWPX0982761091066,Frozen French Fries,Supermarket,11.69,8,93.52
PWPX0982761091099,Samsung Galaxy S21,Electronics,783.07,8,6264.56
PWPX0982761091100,Apple MacBook Pro,Electronics,424.82,8,3398.56
PWPX0982761091112,Apple Watch Series 6,Electronics,579.0,8,4632.0
PWPX0982761091114,Sony WH-1000XM4 Headphones,Electronics,246.7,8,1973.6
PWPX0982761091120,Apple iPhone 13 Pro,Electronics,180.2,8,1441.6
PWPX0982761091125,Nintendo Switch,Electronics,725.5,8,5804.0
PWPX0982761091109,GoPro Hero 9,Electronics,908.87,8,7270.96
PWPX0982761091103,Amazon Echo Dot,Electronics,477.29,8,3818.32
PWPX0982761091096,Cooking Spray,Supermarket,12.44,7,87.08
PWPX0982761091110,Kindle Paperwhite,Electronics,738.81,7,5171.67
PWPX0982761091105,Microsoft Surface Pro,Electronics,497.46,7,3482.22
PWPX0982761091104,Canon EOS Rebel Camera,Electronics,808.21,7,5657.47
PWPX0982761091106,NVIDIA GeForce RTX 3060,Electronics,647.73,7,4534.110000000001
PWPX0982761091117,Samsung QLED TV,Electronics,710.27,6,4261.62
PWPX0982761091115,Garmin Forerunner,Electronics,840.38,6,5042.28
PWPX0982761091095,Croutons,Supermarket,13.31,5,66.55
